"Identifiant technique de la structure","Raison sociale site","Enseigne commerciale site","Complément destinataire (coord. structure)","Complément point géographique (coord. structure)","Numéro Voie (coord. structure)","Indice répétition voie (coord. structure)","Code type de voie (coord. structure)","Libellé type de voie (coord. structure)","Libellé Voie (coord. structure)","Mention distribution (coord. structure)","Bureau cedex (coord. structure)","Code postal (coord. structure)","Code commune (coord. structure)","Libellé commune (coord. structure)","Code pays (coord. structure)","Libellé pays (coord. structure)","Téléphone (coord. structure)","Téléphone 2 (coord. structure)","Télécopie (coord. structure)","Adresse e-mail (coord. structure)","Code Département (structure)","Libellé Département (structure)","Ancien identifiant de la structure","Autorité d'enregistrement","Code secteur d'activité","Libellé secteur d'activité","Code section tableau pharmaciens","Libellé section tableau pharmaciens","Code rôle","Libellé rôle","Code genre activité","Libellé genre activité",
F010000024,"CH DE FLEYRIAT",,,,900,,RTE,Route,"DE PARIS",,"01440 VIRIAT",01440,01451,Viriat,,,0474454647,,0474454114,,,,1010000024,//ARS,SA01,"Etablissement Public de santé",,,331,"Secrétaire assistante médico-administrative",GENR99,"Autre activité",
F010000032,"CH BUGEY SUD",,,,700,,AV,Avenue,"DE NARVIK","BP 139","01300 BELLEY",01300,01034,Belley,,,0479425959,,0479425996,,,,1010000032,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000065,"CH DE TREVOUX - MONTPENSIER",,,,14,,R,Rue,"DE L'HOPITAL","BP 615","01606 TREVOUX CEDEX",01606,01427,Trévoux,,,0474105000,,0474105019,,,,1010000065,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000081,"CH DU PAYS DE GEX",,,,160,,R,Rue,"MARC PANISSOD","BP 437","01174 GEX CEDEX",01174,01173,Gex,,,0450403838,,0450403825,,,,1010000081,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000099,"CH DE MEXIMIEUX",,,,13,,AV,Avenue,"DU DOCTEUR BOYER",,"01800 MEXIMIEUX",01800,01244,Meximieux,,,0474610177,,0474347184,,,,1010000099,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000107,"CH DE PONT DE VAUX",,,,,,CHE,Chemin,"DES NIVRES","BP 55","01190 PONT DE VAUX",01190,01305,Pont-de-Vaux,,,0385308000,,0385308009,,,,1010000107,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000115,"CHI AIN VAL DE SAONE - PONT VEYLE",,,,,,IMP,Impasse,"DE LA BISCUITERIE","BP 68","01290 PONT DE VEYLE",01290,01306,Pont-de-Veyle,,,0385362350,,0385239077,,,,1010000115,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000131,"CHI AIN VAL DE SAONE - THOISSEY",,,,11,,R,Rue,"DE L HOPITAL",,"01140 THOISSEY",01140,01420,Thoissey,,,0474049900,,0474049914,,,,1010000131,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000180,"CH PUBLIC HAUTEVILLE - UNITE ESPERANCE",,,,,,AV,Avenue,"FELIX MANGINI","BP 41","01110 PLATEAU D HAUTEVILLE",01110,01185,"Plateau d'Hauteville",,,0474408250,,0474408009,,,,1010000180,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
F010000198,"CH PUBLIC HAUTEVILLE - UNITE INTERDEPT",,,,,,AV,Avenue,"FELIX MANGINI","BP 41","01110 PLATEAU D HAUTEVILLE",01110,01185,"Plateau d'Hauteville",,,0474408165,,0474408073,,,,1010000198,//ARS,SA01,"Etablissement Public de santé",,,FON-33,"Salarié en poste fixe",GENR01,"Activité standard de soin ou de pharmacien",
